image1,image2,label
verification_dataset/authentic_BrandZ/IMG_6068_png.rf.908a126066d71f119baaeebc107d9cde_1.jpg,verification_dataset/authentic_BrandX/IMG_5744_png.rf.7e698298e0d0ad0cd0e904582f1e0e79_1.jpg,0
verification_dataset/authentic_BrandY/IMG_0761_png.rf.15a4de00a1f71a1f6255dbb6fd4721b5_0.jpg,verification_dataset/authentic_BrandX/IMG_6394_png.rf.3d6a5ce6d2e0deb6fe326e401285a4bd_0.jpg,0
verification_dataset/authentic_BrandZ/IMG_1681_png.rf.b30ff19e4824dace7c77f08ca99e4467_0.jpg,verification_dataset/authentic_BrandZ/IMG_1661_png.rf.b062c730b547babd6a79e0286f83af26_0.jpg,1
verification_dataset/counterfeit_BrandW/IMG_0041_png.rf.2be001a858763fe88848f7ffb96959c9_1.jpg,verification_dataset/counterfeit_BrandW/IMG_1110_png.rf.4ea956ebda49626624ffd0bd88b06b2a_0.jpg,1
verification_dataset/authentic_BrandY/IMG_0984_png.rf.08c225b7df57b5e4c65d22abc6264c88_1.jpg,verification_dataset/authentic_BrandY/IMG_1835_png.rf.2d8380a6cf892d3011be743713901b4e_1.jpg,1
verification_dataset/authentic_BrandY/IMG_0691_png.rf.35f051ee883bf70612e3107847295bb1_1.jpg,verification_dataset/counterfeit_BrandW/IMG_0337_png.rf.988c4ed0b72857be888e0b157b27a11e_1.jpg,0
verification_dataset/counterfeit_BrandX/IMG_1597_png.rf.b664166a356da623207287d33b20c856_1.jpg,verification_dataset/counterfeit_BrandX/IMG_1223_png.rf.8e515232d6950a15e800e2c37406e846_1.jpg,1
verification_dataset/authentic_BrandZ/IMG_6794_png.rf.ba72a68a9e997c9a128304f5236a3f96_0.jpg,verification_dataset/counterfeit_BrandW/IMG_1475_png.rf.9121b485eafd96911b7c239b85f82e80_0.jpg,0
verification_dataset/authentic_BrandX/IMG_6390_png.rf.8f0b665296e704829a39263dd32f1313_1.jpg,verification_dataset/counterfeit_BrandY/IMG_1740_png.rf.60d4551daef523a179278930fc99cd23_1.jpg,0
verification_dataset/counterfeit_BrandZ/IMG_5435_png.rf.2897af85c8b30518a5b4d6c62ebe51db_1.jpg,verification_dataset/counterfeit_BrandX/IMG_6413_png.rf.4edb2b688fa00da9bee14dd2548f5c2e_0.jpg,0
verification_dataset/counterfeit_BrandY/IMG_0862_png.rf.4beb9114015698aec2c4b430fdf062bf_1.jpg,verification_dataset/counterfeit_BrandY/IMG_1670_png.rf.11ba03de1ac1040a67ffbead3aea368b_1.jpg,1
verification_dataset/authentic_BrandW/IMG_1318_png.rf.bbbf6d406d2b8c0d84103789ef3398e0_1.jpg,verification_dataset/authentic_BrandW/IMG_9684_png.rf.ea49cdf11be5cf7de2ea129920cc5ec9_1.jpg,1
verification_dataset/authentic_BrandY/IMG_0999_png.rf.aadbbe5fafc33e2380ced55ecc8c360f_0.jpg,verification_dataset/counterfeit_BrandW/IMG_1169_png.rf.a1d356637f9ddc1aa6f17401bece005b_1.jpg,0
verification_dataset/authentic_BrandZ/IMG_6657_png.rf.13cb68430a779b428a8ed203604fb194_0.jpg,verification_dataset/counterfeit_BrandW/IMG_9923_png.rf.031cf924830738c9b696818758d0de74_1.jpg,0
verification_dataset/authentic_BrandX/IMG_1759_png.rf.986b8caa3006f6aaa0552d107986debd_0.jpg,verification_dataset/authentic_BrandX/IMG_6288_png.rf.5d1cc79f40fcdcfc75135927f2fe0dd3_0.jpg,1
verification_dataset/authentic_BrandX/IMG_1199_png.rf.83a7f46dfee34c134b6e66b68b9b6b06_1.jpg,verification_dataset/authentic_BrandX/IMG_1244_png.rf.88223e2558d82c715f039e1f4db159a0_0.jpg,1
